#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
A,libxft-bgra,"helps rendering color emojis in suckless software"
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,libX11-devel,"is required for the compilation of some programs."
,sxhkd,"binds keys."
I,libXft-devel,"is required for the compilation of some programs."
I,gcr-devel,"is required for the compilation of some programs."
I,fontconfig-devel,"is required for the compilation of some programs."
,ttf-inconsolata,"is the monospace font of LARBS."
A,nerd-fonts-inconsolata,"provides extra symbols."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,ranger-git,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
V,xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
V,dbus,"facilitates inter-process communication."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,i3blocks,"is the status bar."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
V,font-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,alsa-utils,"is an audio interface for ALSA."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
V,xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,python-ueberzug,"generates image previews in ranger and other terminal programs."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
V,simple-mtpfs,"enables the mounting of cell phones."
V,setxkbmap,"allows LARBS's unique keyboard bindings."
V,xmodmap,"allows LARBS's unique keyboard bindings."
V,xsetroot,"sets status bar and other X properies."
V,xset,"allows speeding up the X rate."
G,https://github.com/blinklad/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/blinklad/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/blinklad/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,ripgrep,"is a blazingly fast drop-in replacement"|"for grep"
,firefox,"your portal to the NSA."
,gotop,"a pretty top replacement."
,powertop,"power management automated"
,dash,"doomer shell"
,adobe-base-14-fonts 3.01-4,"extra fonts..."
,adobe-source-code-pro-fonts 2.030ro+1.050it-5,"extra fonts..."
,cantarell-fonts 1:0.201-1,"extra fonts..."
,fontconfig 2:2.13.91+24+g75eadca-2,"extra fonts..."
,gnu-free-fonts 20120503-7,"extra fonts..."
,libfontenc 1.1.4-1,"extra fonts..."
,libxfont2 2.0.4-2,"extra fonts..."
A,nerd-fonts-jetbrains-mono 2.1.0-1,"extra fonts..."
,otf-font-awesome 5.12.1-1,"extra fonts..."
,powerline-fonts 2.7-4,"extra fonts..."
,terminus-font 4.48-1,"extra fonts..."
A,ttf-font-awesome 5.12.1-1,"extra fonts..."
A,ttf-nerd-fonts-symbols 2.1.0-1,"extra fonts..."
,xorg-font-util 1.3.2-1,"extra fonts..."
,xorg-font-utils 7.6-5,"extra fonts..."
,xorg-fonts-alias 1.0.3-2,"extra fonts..."
,xorg-fonts-encodings 1.0.5-1,"extra fonts..."
,xorg-fonts-misc 1.0.3-6,"extra fonts..."
,xorg-mkfontscale 1.2.1-2,"extra fonts..."
,networkmanager-applet,"useful gui for useful bloat"
,networkmanager-vpnc,"for global protection... apparently"
